A,State,Week,"West Nile virus disease†, Neuroinvasive","West Nile virus disease†, Nonneuroinvasive","Zika virus disease, non-congenital","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable",Tetanus,Varicella morbidity,"Spotted Fever Rickettsiosis, Confirmed","Spotted Fever Rickettsiosis, Probable","Syphilis, primary and secondary",Salmonellosis (excluding Paratyphoid fever andTyphoid fever)†,Shiga toxin-producing Escherichia coli,Shigellosis,"Rabies, animal",Rubella,"Rubella, congenital syndrome","Meningococcal disease, all serogroups",Mumps,Pertussis,Legionellosis,Malaria,"Invasive Pneumococcal Disease, Age LT 5†, Confirmed","Invasive Pneumococcal Disease, Age LT 5†, Probable","Invasive Pneumococcal Disease, all ages†, Confirmed","Invasive Pneumococcal Disease, all ages†, Probable","Hepatitis (viral, acute, by type)†, C, Confirmed","Hepatitis (viral, acute, by type)†, C, Probable","Hepatitis (viral, acute, by type)†, A","Hepatitis (viral, acute, by type)†, B","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis",Giardiasis,Gonorrhea,"Haemophilus influenzae, invasive disease (all ages, all serotypes)","Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection",Cryptosporidiosis,"Dengue Virus Infections, Dengue†","Dengue Virus Infections, Severe Dengue",Chlamydia trachomatis infection,Coccidioidomycosis,"Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Klebsiella spp.","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Escherichia coli","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae †, Enterobacter spp.",Babesiosis,Campylobacteriosis,Total,Population_Density(km²),GDP,TAVE,AVE_TMIN,AVE_TMAX,DATE,TAVE_D,AVE_TMIN_D,AVE_TMAX_D,Glaciers,Locales,Beaches,Areas,Lakes,Streams,Swamps,Forests,Plains,Woods,"Agriculture, forestry, fishing, and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,Finance and insurance,Colors
729,NEW JERSEY,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,335,0,0,0,0,0,0,404,470.1927021,,1.4419,-2.5319,5.4156,,7.1743,1.5884,12.7601,,,,,,,,,,,,,,,,,,,,,,
730,NEW MEXICO,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,46,0,0,0,0,0,1,61,6.651759892,,7.9464,0.0217,15.8711,,10.3576,1.0359,19.6793,,,,,,,,,,,,,,,,,,,,,,
731,NEW YORK,15,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,1,2,5,3,0,2,0,33,0,0,0,0,0,0,0,12,203,5,0,0,0,0,0,933,0,0,0,0,4,31,1248,162.4306895,,-1.6861,-4.8973,1.5251,,3.1823,-2.0295,8.394,,,,,,,,,,,,,,,,,,,,,,
732,NORTH CAROLINA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,82.35626699,,5.381,-0.6276,11.3895,,14.3043,6.7552,21.8533,,,,,,,,,,,,,,,,,,,,,,
733,NORTH DAKOTA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,28,0,0,0,0,0,0,32,4.227543704,,-6.216,-12.6202,0.1882,,-9.3572,-14.9792,-3.7352,,,,,,,,,,,,,,,,,,,,,,
734,OHIO,15,0,0,0,1,0,0,10,0,0,0,21,12,10,0,0,0,0,2,9,4,1,2,1,30,1,2,0,1,1,0,0,2,246,2,0,0,11,0,0,625,1,0,0,0,0,34,1029,110.2687637,,-0.6282,-5.0804,3.8241,,5.1167,-0.4944,10.7278,,,,,,,,,,,,,,,,,,,,,,
735,OKLAHOMA,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,3,0,0,1,0,0,65,0,0,0,0,0,0,99,22.15680332,,10.1584,1.4637,18.853,,9.6492,1.6778,17.6206,,,,,,,,,,,,,,,,,,,,,,
736,OREGON,15,0,0,0,0,4,0,0,0,0,5,0,3,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,7,118,4,0,0,6,0,0,403,0,0,0,0,0,11,567,16.48063716,,5.5183,0.0007,11.0358,,5.9237,0.3224,11.525,,,,,,,,,,,,,,,,,,,,,,
737,PENNSYLVANIA,15,0,0,0,0,0,0,14,0,0,3,17,4,0,0,0,0,0,3,4,1,0,1,0,9,0,0,0,1,0,0,0,8,258,6,0,0,5,0,0,1135,0,0,0,0,0,20,1489,110.48115,,-1.5997,-5.6019,2.4025,,5.1424,-0.4093,10.6941,,,,,,,,,,,,,,,,,,,,,,
738,RHODE ISLAND,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,50,0,0,0,0,0,0,59,392.3547672,,1.7529,-1.9971,5.5029,,6.235,1.3686,11.1014,,,,,,,,,,,,,,,,,,,,,,
739,SOUTH CAROLINA,15,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,648,0,0,0,0,0,0,880,65.25673544,,7.1825,0.3442,14.0208,,16.1862,8.2421,24.1302,,,,,,,,,,,,,,,,,,,,,,
740,SOUTH DAKOTA,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,8,4.466215529,,-1.5335,-7.8393,4.7723,,-4.1424,-10.4105,2.1258,,,,,,,,,,,,,,,,,,,,,,
741,TENNESSEE,15,0,0,0,0,0,0,0,0,1,3,2,0,2,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,289,0,0,0,0,0,0,441,63.53570893,,5.2053,-0.8061,11.2166,,11.4519,4.3458,18.558,,,,,,,,,,,,,,,,,,,,,,
742,TEXAS,15,0,0,0,2,2,0,0,0,0,32,0,5,8,0,0,0,1,2,13,7,0,1,0,35,0,0,0,1,1,0,0,0,729,11,0,0,7,0,0,2264,0,0,0,0,0,60,3181,42.33358553,,15.0752,8.3197,21.8306,,18.0726,11.2932,24.8519,,,,,,,,,,,,,,,,,,,,,,
743,UTAH,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,29,1,0,0,1,0,0,116,0,0,0,0,0,0,151,14.84996545,,5.4694,-1.0617,12.0005,,6.658,-1.2282,14.5441,,,,,,,,,,,,,,,,,,,,,,
744,VERMONT,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,26.86356396,,-1.8446,-4.6744,0.9853,,1.9126,-3.5348,7.3599,,,,,,,,,,,,,,,,,,,,,,
745,VIRGINIA,15,0,0,0,0,0,0,0,0,0,13,9,1,4,0,0,0,0,2,1,0,1,0,0,0,0,2,0,1,1,0,0,2,430,1,0,0,6,0,0,1426,0,0,0,0,0,19,1919,83.1382377,,2.1333,-2.5652,6.8317,,11.3276,4.0994,18.5558,,,,,,,,,,,,,,,,,,,,,,
746,WASHINGTON,15,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,2,0,1,3,0,0,3,169,1,0,0,0,0,0,578,0,0,0,0,0,66,846,43.69387518,,4.9295,-0.5933,10.4523,,4.3138,0.0328,8.5948,,,,,,,,,,,,,,,,,,,,,,
747,WEST VIRGINIA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,28,0,0,0,0,0,0,46,28.9135357,,-0.4108,-4.6595,3.838,,7.9601,1.7298,14.1903,,,,,,,,,,,,,,,,,,,,,,
748,WISCONSIN,15,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,95,0,0,0,7,0,0,367,0,0,0,0,0,11,492,41.36161606,,-2.7467,-8.6918,3.1985,,-2.9294,-8.4338,2.5751,,,,,,,,,,,,,,,,,,,,,,
749,WYOMING,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,0,0,38,2.281292621,,0.7098,-6.8639,8.2835,,-0.7553,-7.6687,6.1582,,,,,,,,,,,,,,,,,,,,,,
750,ALABAMA,16,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,16,37.19925281,,13.8027,7.3913,20.2141,3/16/2018,12.8521,5.6783,20.0258,,,,,,,,,,,,,,,,,,,,,,
751,ALASKA,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,0.498241128,,-5.2268,-9.9534,-0.5001,3/17/2018,-0.4383,-6.1493,5.2728,,,,,,,,,,,,,,,,,,,,,,
752,ARIZONA,16,0,0,0,0,1,0,5,0,0,0,11,10,4,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,184,0,0,0,0,11,246,24.20525837,,9.2316,1.5034,16.9598,3/18/2018,17.6707,9.1581,26.1833,,,,,,,,,,,,,,,,,,,,,,
753,ARKANSAS,16,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,41,1,0,0,2,0,0,119,0,0,0,0,0,4,176,22.39668239,,12.6111,5.7802,19.4419,3/19/2018,9.0898,2.4413,15.7382,,,,,,,,,,,,,,,,,,,,,,
754,CALIFORNIA,16,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,124,0,0,0,2,0,0,283,17,0,0,0,0,93,540,98.47383106,,7.3876,2.2496,12.5256,3/20/2018,12.6346,6.4556,18.8135,,,,,,,,,,,,,,,,,,,,,,
755,COLORADO,16,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,28,21.16020728,,2.1171,-4.1835,8.4176,3/21/2018,7.372,0.6363,14.1077,,,,,,,,,,,,,,,,,,,,,,
756,CONNECTICUT,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,31,0,0,0,0,2,0,0,0,0,0,3,43,285.9964138,,-0.1983,-4.8993,4.5027,3/22/2018,2.2762,-3.1252,7.6776,,,,,,,,,,,,,,,,,,,,,,
757,DELAWARE,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.0580431,,3.4036,-0.8857,7.6929,,7.9357,1.4857,14.3857,,,,,,,,,,,,,,,,,,,,,,
758,FLORIDA,16,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,0,1,1,4,0,0,0,0,6,0,0,0,0,0,0,0,0,317,7,0,0,0,0,0,1122,0,0,0,0,0,0,1474,152.5897544,,18.7597,11.8057,25.7137,,21.8035,16.1191,27.4878,,,,,,,,,,,,,,,,,,,,,,
759,GEORGIA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.31216995,,14.0252,7.3311,20.7192,,12.9233,6.3821,19.4645,,,,,,,,,,,,,,,,,,,,,,
760,HAWAII,16,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,17,28,85.74649835,,20.4389,17.0937,23.7841,,21.2577,18.2239,24.2915,,,,,,,,,,,,,,,,,,,,,,
761,IDAHO,16,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,133,0,0,0,0,0,2,156,8.183599765,,1.0105,-3.6913,5.7122,,5.3279,0.4378,10.218,,,,,,,,,,,,,,,,,,,,,,
762,ILLINOIS,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,58,0,0,0,0,0,0,87,88.69290989,,3.5465,-2.1876,9.2805,,3.3402,-2.4277,9.108,,,,,,,,,,,,,,,,,,,,,,
763,INDIANA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,361,0,0,0,0,0,0,483,72.12044782,,2.9774,-3.2062,9.1609,,3.6687,-2.0736,9.411,,,,,,,,,,,,,,,,,,,,,,
764,IOWA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,92,0,0,0,0,0,0,121,21.84195686,,2.2635,-2.2821,6.809,,0.7752,-4.962,6.5123,,,,,,,,,,,,,,,,,,,,,,
765,KANSAS,16,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,110,0,0,0,0,0,0,141,13.77307692,,7.2836,0.1286,14.4385,,6.9764,-1.3077,15.2604,,,,,,,,,,,,,,,,,,,,,,
766,KENTUCKY,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,4,0,38,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,64,43.46393446,,6.9411,1.0747,12.8074,,6.3055,-0.3745,12.9855,,,,,,,,,,,,,,,,,,,,,,
767,LOUISIANA,16,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,41.50240638,,18.2827,12.3432,24.2221,,15.0952,8.7143,21.476,,,,,,,,,,,,,,,,,,,,,,
768,MAINE,16,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,52,0,0,0,0,0,1,69,16.78425142,,-5.6018,-11.2575,0.0539,,-1.4535,-7.2466,4.3396,,,,,,,,,,,,,,,,,,,,,,
769,MARYLAND,16,0,0,0,0,1,0,0,0,0,1,12,3,1,4,0,0,0,1,0,1,3,0,0,6,1,0,0,0,1,0,0,4,83,2,0,0,2,0,0,405,1,0,0,0,0,16,548,240.1675753,,2.2321,-2.6362,7.1004,,6.1656,0.41,11.9212,,,,,,,,,,,,,,,,,,,,,,
770,MASSACHUSETTS,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.5999705,,-1.3862,-6.1304,3.358,,2.0235,-2.9061,6.9531,,,,,,,,,,,,,,,,,,,,,,
771,MICHIGAN,16,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0,233,0,0,0,0,0,1,281,66.38479376,,-2.1181,-8.1629,3.9267,,-1.1234,-6.5639,4.3172,,,,,,,,,,,,,,,,,,,,,,
772,MINNESOTA,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,21,27.29613122,,-1.6412,-7.1376,3.8553,,-4.1731,-9.7208,1.3746,,,,,,,,,,,,,,,,,,,,,,
773,MISSISSIPPI,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,150,1,0,0,1,0,0,368,0,0,0,0,0,7,529,24.55209568,,14.6459,8.5062,20.7856,,12.4791,5.4739,19.4843,,,,,,,,,,,,,,,,,,,,,,
774,MISSOURI,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,511,0,0,0,0,0,0,742,34.39129216,,7.0144,2.1319,11.8968,,6.0331,-0.5558,12.622,,,,,,,,,,,,,,,,,,,,,,
775,MONTANA,16,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,35,0,0,0,0,0,5,52,2.81800843,,0.2165,-4.7224,5.1553,,0.7623,-4.4822,6.0068,,,,,,,,,,,,,,,,,,,,,,
776,NEBRASKA,16,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,1,14,0,0,0,5,0,0,57,0,0,0,0,0,12,102,9.706472659,,2.7835,-2.0841,7.651,,3.6363,-4.0033,11.2758,,,,,,,,,,,,,,,,,,,,,,
777,NEVADA,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10.74651254,,1.9435,-3.411,7.298,,8.9343,2.5788,15.2898,,,,,,,,,,,,,,,,,,,,,,
778,NEW HAMPSHIRE,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.37731675,,-5.523,-11.6314,0.5854,,-0.9757,-6.5721,4.6208,,,,,,,,,,,,,,,,,,,,,,
779,NEW JERSEY,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,374,0,0,0,0,0,0,466,470.1927021,,1.8701,-2.5015,6.2416,,4.9129,-1.0037,10.8294,,,,,,,,,,,,,,,,,,,,,,
780,NEW MEXICO,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,111,0,0,0,0,0,0,137,6.651759892,,7.575,-1.3249,16.4748,,12.3996,2.7937,22.0055,,,,,,,,,,,,,,,,,,,,,,
781,NEW YORK,16,0,0,0,0,0,0,0,0,0,11,0,6,2,6,0,0,0,1,5,6,0,0,0,19,0,2,0,1,0,0,0,11,195,4,2,1,5,0,0,976,0,0,0,0,1,24,1278,162.4306895,,-3.4473,-9.0902,2.1956,,-0.089,-5.1133,4.9353,,,,,,,,,,,,,,,,,,,,,,
782,NORTH CAROLINA,16,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,38,82.35626699,,9.9376,3.6352,16.24,,10.1595,3.5752,16.7438,,,,,,,,,,,,,,,,,,,,,,
783,NORTH DAKOTA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,24,4.227543704,,-2.4854,-6.9082,1.9374,,-5.0412,-10.2741,0.1917,,,,,,,,,,,,,,,,,,,,,,
784,OHIO,16,0,0,0,0,0,0,19,0,0,0,24,8,10,0,0,0,0,0,6,3,2,2,0,38,1,1,0,9,1,0,0,6,256,5,0,1,9,0,0,647,2,0,0,0,0,29,1079,110.2687637,,1.5807,-4.1233,7.2846,,3.4291,-2.1449,9.003,,,,,,,,,,,,,,,,,,,,,,
785,OKLAHOMA,16,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,5,0,0,21,0,0,0,0,0,0,52,22.15680332,,11.9822,4.2061,19.7582,,11.0306,2.8069,19.2542,,,,,,,,,,,,,,,,,,,,,,
786,OREGON,16,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,129,2,0,0,5,0,0,379,0,0,0,0,0,8,538,16.48063716,,3.667,-1.1189,8.4528,,7.1145,2.4271,11.8018,,,,,,,,,,,,,,,,,,,,,,
787,PENNSYLVANIA,16,0,0,0,0,0,0,6,0,0,3,13,1,1,0,0,0,0,5,6,1,0,1,0,9,0,3,1,2,0,0,0,5,217,2,0,0,3,0,0,834,0,0,0,0,0,23,1136,110.48115,,-0.3272,-5.5893,4.9349,,2.0826,-3.2285,7.3937,,,,,,,,,,,,,,,,,,,,,,
788,RHODE ISLAND,16,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,188,0,0,0,0,0,0,224,392.3547672,,0.3272,-4.2186,4.8729,,3.4057,-1.91,8.7214,,,,,,,,,,,,,,,,,,,,,,
789,SOUTH CAROLINA,16,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,751,0,0,0,0,0,0,1027,65.25673544,,13.2797,6.3851,20.1743,,11.8263,5.3093,18.3433,,,,,,,,,,,,,,,,,,,,,,
790,SOUTH DAKOTA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.466215529,,-0.086,-4.4136,4.2416,,-0.0831,-5.9597,5.7936,,,,,,,,,,,,,,,,,,,,,,
791,TENNESSEE,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,109,1,0,0,0,0,0,323,0,0,0,0,0,0,436,63.53570893,,10.0599,3.5816,16.5382,,7.3184,0.7771,13.8596,,,,,,,,,,,,,,,,,,,,,,
792,TEXAS,16,0,0,0,1,1,0,0,0,0,31,0,7,20,0,0,0,0,0,17,3,0,1,0,36,1,0,0,1,0,0,0,0,790,3,0,0,3,0,0,2722,0,0,0,0,0,57,3694,42.33358553,,18.2915,11.4306,25.1524,,16.8263,9.5259,24.1266,,,,,,,,,,,,,,,,,,,,,,
793,UTAH,16,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,110,0,0,0,0,0,0,146,14.84996545,,2.1393,-3.5775,7.8561,,8.7136,2.0897,15.3374,,,,,,,,,,,,,,,,,,,,,,
794,VERMONT,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,26.86356396,,-8.0444,-14.8905,-1.1982,,-1.9564,-7.38,3.4673,,,,,,,,,,,,,,,,,,,,,,
795,VIRGINIA,16,0,0,0,0,0,0,0,0,0,9,7,7,2,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,2,0,0,1,157,1,0,0,2,0,0,782,0,0,0,0,0,16,993,83.1382377,,5.0968,-0.6904,10.884,,7.0555,0.5316,13.5794,,,,,,,,,,,,,,,,,,,,,,
796,WASHINGTON,16,0,0,0,0,0,0,0,0,0,13,0,18,2,0,0,0,2,1,13,0,0,0,0,0,0,1,0,2,0,0,0,11,150,1,0,0,0,0,0,524,0,0,0,0,0,24,762,43.69387518,,4.2828,-0.8619,9.4275,,6.7962,2.8824,10.7099,,,,,,,,,,,,,,,,,,,,,,
797,WEST VIRGINIA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9135357,,2.6356,-3.3245,8.5956,,3.9636,-1.9931,9.9203,,,,,,,,,,,,,,,,,,,,,,
798,WISCONSIN,16,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,106,0,0,0,6,0,0,323,0,0,0,0,0,5,458,41.36161606,,-0.8529,-7.1572,5.4515,,-1.6519,-7.176,3.8722,,,,,,,,,,,,,,,,,,,,,,
799,WYOMING,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,28,2.281292621,,-0.1097,-6.0452,5.8259,,2.6401,-3.5106,8.7908,,,,,,,,,,,,,,,,,,,,,,
800,ALABAMA,17,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,37.19925281,,15.3602,9.5348,21.1855,3/23/2018,15.2213,7.629,22.8136,,,,,,,,,,,,,,,,,,,,,,
801,ALASKA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0.498241128,,-6.1249,-12.1129,-0.1369,3/24/2018,-0.6681,-6.0988,4.7627,,,,,,,,,,,,,,,,,,,,,,
802,ARIZONA,17,0,0,0,0,0,0,7,0,0,2,9,9,4,0,0,0,0,0,3,0,0,1,0,13,0,0,0,0,0,0,0,2,144,2,0,0,1,0,0,569,90,0,0,0,0,6,862,24.20525837,,10.8153,3.2606,18.37,3/25/2018,12.3596,3.6567,21.0625,,,,,,,,,,,,,,,,,,,,,,
803,ARKANSAS,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,70,0,0,0,0,0,0,100,22.39668239,,15.2058,9.5497,20.8619,3/26/2018,13.3745,6.079,20.67,,,,,,,,,,,,,,,,,,,,,,
804,CALIFORNIA,17,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,124,0,0,0,0,0,0,348,13,0,0,0,0,48,545,98.47383106,,9.3717,2.73,16.0133,3/27/2018,9.3763,2.5075,16.2451,,,,,,,,,,,,,,,,,,,,,,
