"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-17","12.1",",,U","20.6","H,,U","1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-18","10.3",",,U","15.6","H,,U","3.9","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-19","5.1",",,U","12.8","H,,U","-0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-20","4.2",",,U","12.2","H,,U","-2.8","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-21","7.1",",,U","14.4","H,,U","-0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-22","6.2",",,U","13.9","H,,U","-0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-23","4.7",",,U","12.8","H,,U","-1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-24","6.4",",,U","14.4","H,,U","-2.2","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-25","10.1",",,U","20.0","H,,U","1.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-26","8.8",",,U","12.8","H,,U","6.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-27","8.6",",,U","16.1","H,,U","1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-02-28","7.3",",,U","14.4","H,,U","-1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-01","9.5",",,U","13.9","H,,U","5.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-02","6.0",",,U","10.6","H,,U","1.7","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-03","5.4",",,U","11.1","H,,U","-0.6","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-04","5.7",",,U","12.8","H,,U","-1.1","H,,U"
"USR0000CBRO","BROOKS CALIFORNIA, CA US","2018-03-05","7.4",",,U","17.8","H,,U","-1.1","H,,U"
