"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-10","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-11","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-12","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-13","3.8",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-14","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-15","0.5",",,N","0.0","T,,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-16","8.4",",,N","0.0","T,,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-17","56.1",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-18","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-19","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-20","3.6",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-21","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-22","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-23","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-24","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-25","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-26","31.0",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-27","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-28","13.7",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-29","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-04-30","5.6",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-01","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-02","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-03","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-04","8.6",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-05","0.5",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-06","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-07","8.6",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-08","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-09","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-10","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-11","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-12","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-13","1.0",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-14","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-15","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-16","12.7",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-17","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-18","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-19","0.0",",,N","0.0",",,N",,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-20","9.1",",,N",,,,,,,,,,
"US1NHRC0024","STRATHAM 1.9 ESE, NH US","2018-05-21","0.5",",,N",,,,,,,,,,
